"Sl no","pdf_urls"
"69","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NTEwMjAwMDAwNzg0NTIwMjNMMQ%3D%3D"
"70","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NTEzMDAwMDAwNjk3MjIwMjNJUw%3D%3D"
"71","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NTMxNjAwMDAwODU2OTIwMjNMMQ%3D%3D"
"72","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NTQ4MjAwMDAwODc0ODIwMjNMMQ%3D%3D"
"73","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NTY2NTAwMDAwNzc3NTIwMjNJUw%3D%3D"
"74","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NjMzMzAwMDAwOTcyOTIwMjNJUw%3D%3D"
"75","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NjQ5OTAwMDAxMDcyMzIwMjNMMQ%3D%3D"
"76","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NjA3MTAwMDAwODU5MDIwMjNJUw%3D%3D"
"77","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NjYwODAwMDAxMTI2NDIwMjNMMQ%3D%3D"
"78","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NjYzMzAwMDAwOTg2MzIwMjNJUw%3D%3D"
"79","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1Njc4NTAwMDAxMDIxMjIwMjNJUw%3D%3D"
"80","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NjcwNDAwMDAxMDkwNTIwMjNMMQ%3D%3D"
"81","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NjcyMDAwMDAxMTEyMTIwMjNMMQ%3D%3D"
"82","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1Njc1NDAwMDAxMDU1MjIwMjNJUw%3D%3D"
"83","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1Njg4MDAwMDAxMTMxOTIwMjNMMQ%3D%3D"
"84","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NjkxOTAwMDAxMDU1NzIwMjNJUw%3D%3D"
"85","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1Njk4MjAwMDAxMTc5MjIwMjNMMQ%3D%3D"
"86","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzA0ODAwMDAxMTYyMzIwMjNMMQ%3D%3D"
"87","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzA3NDAwMDAxMTYyMDIwMjNMMQ%3D%3D"
"88","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzA3OTAwMDAxMTYzNTIwMjNMMQ%3D%3D"
"89","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzA4MjAwMDAxMDg0NzIwMjNJUw%3D%3D"
"90","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzEwMTAwMDAxMDg4MzIwMjNJUw%3D%3D"
"91","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzM3NzAwMDAxMTQ5NTIwMjNJUw%3D%3D"
"92","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzIyNDAwMDAxMTE3ODIwMjNJUw%3D%3D"
"93","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzYxNTAwMDAxMjg0MDIwMjNMMQ%3D%3D"
"94","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzY4MjAwMDAxMzAzMjIwMjNMMQ%3D%3D"
"95","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzgyODAwMDAxMjQxNjIwMjNJUw%3D%3D"
"96","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1ODA1NjAwMDAxMjgxNjIwMjNJUw%3D%3D"
"97","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NTU2MjAwMDAwNzY0NjIwMjNJUw%3D%3D"
"98","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NTY5OTAwMDAwOTIzNDIwMjNMMQ%3D%3D"
"99","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1Njc1ODAwMDAxMDE1ODIwMjNJUw%3D%3D"
"100","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NjgzNDAwMDAxMTQ1ODIwMjNMMQ%3D%3D"
"101","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzEyNzAwMDAxMDk1NjIwMjNJUw%3D%3D"
"102","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzE2OTAwMDAxMTkzODIwMjNMMQ%3D%3D"
